matrix_name,n,k,nnz,tiempoCSR_ms,tiempoCOO_ms,tiempoEigen_ms,n_k
thermal2,1228045,1,0,0.513408,0.028864,3.676319,1228045
bayer09,3083,1,0,0.297088,0.010272,0.000766,3083
bayer09,3083,1,0,0.47104,0.011968,0.001015,3083
bayer09,3083,1,0,0.270336,0.009632,0.000729,3083
bayer10,13436,1,0,0.274464,0.009024,0.001817,13436
thermal2,1228045,1,0,0.307232,0.029312,3.55274,1228045
bayer04,20545,1,0,0.450848,0.011968,0.002351,20545
bayer04,20545,1,0,0.270336,0.008928,0.002546,20545
bayer04,20545,1,0,0.290176,0.009248,0.002688,20545
std1_Jac3_db,21982,1,0,0.645056,0.014336,0.002714,21982
std1_Jac3_db,21982,1,0,0.282784,0.010208,0.002702,21982
Zd_Jac3_db,22835,1,0,0.272032,0.010208,0.002574,22835
Zd_Jac3_db,22835,1,0,0.63408,0.014592,0.003178,22835
lhr71,70304,1,0,0.463296,0.010272,0.146403,70304
lhr71,70304,1,0,0.29536,0.010176,0.030484,70304
thermal2,1228045,1,0,4.677152,0.036896,3.334992,1228045
bayer10,13436,1,0,0.538624,0.01232,0.001641,13436
bayer10,13436,1,0,0.276032,0.009504,0.001794,13436
west0479,479,479,1910,5.725216,2.844992,0.004624,229441
west0479,479,479,1910,5.640288,2.963488,0.005058,229441
west0479,479,479,1910,6.350752,3.296,0.005507,229441
west0655,655,655,2854,5.783552,2.783232,0.006062,429025
west0655,655,655,2854,5.510688,2.795776,0.005792,429025
west0655,655,655,2854,46.386719,33.052704,0.006014,429025
radfr1,1048,1048,13299,7.70944,3.72736,0.015661,1098304
radfr1,1048,1048,13299,7.7312,2.808576,0.015202,1098304
bayer09,3083,3083,21216,5.638176,2.760704,0.050788,9504889
bayer09,3083,3083,21216,5.700064,3.105472,0.033708,9504889
bayer09,3083,3083,21216,5.595168,2.742432,0.031924,9504889
bayer08,3008,3008,27576,5.652448,2.930752,0.035815,9048064
bayer08,3008,3008,27576,5.62416,2.750912,0.035072,9048064
bayer08,3008,3008,27576,5.582816,2.885632,0.034719,9048064
poli3,16955,16955,37849,5.502752,2.765152,0.156508,287472025
poli3,16955,16955,37849,5.558816,2.911968,0.113159,287472025
poli3,16955,16955,37849,6.387968,3.315744,0.135884,287472025
rdist3a,2398,2398,61896,5.773248,3.200992,0.069964,5750404
rdist3a,2398,2398,61896,5.759488,2.79104,0.065732,5750404
poli4,33833,33833,73249,8.15152,4.138656,0.210211,1144671889
poli4,33833,33833,73249,5.588416,2.7952,0.241734,1144671889
poli4,33833,33833,73249,5.599488,2.762944,0.221585,1144671889
bcsstk18,11948,11948,80519,5.707776,2.982368,0.193683,142754704
bcsstk18,11948,11948,80519,6.342656,3.31904,0.213278,142754704
bcsstk18,11948,11948,80519,5.54304,2.795168,0.202402,142754704
bayer10,13436,13436,94926,5.703968,3.0888,0.144227,180526096
bayer10,13436,13436,94926,5.603904,2.71344,0.136831,180526096
bayer10,13436,13436,94926,5.527552,2.728192,0.13622,180526096
bayer04,20545,20545,159082,5.801984,3.004992,0.274846,422097025
bayer04,20545,20545,159082,5.820128,2.95088,0.250275,422097025
bayer04,20545,20545,159082,5.649344,2.922496,0.236109,422097025
lhr10c,10672,10672,232633,5.726816,3.119776,0.516057,113891584
lhr10c,10672,10672,232633,5.695264,2.939904,0.265834,113891584
std1_Jac3_db,21982,21982,531826,5.7344,2.824064,1.054037,483208324
std1_Jac3_db,21982,21982,531826,5.66752,2.848896,0.671594,483208324
bcsstk31,35588,35588,608502,5.594816,2.951808,1.00437,1266505744
bcsstk31,35588,35588,608502,6.016288,3.335872,0.900089,1266505744
bcsstk31,35588,35588,608502,7.64176,4.088064,0.99228,1266505744
Zd_Jac3_db,22835,22835,713907,5.556224,2.776512,0.930519,521437225
Zd_Jac3_db,22835,22835,713907,7.714816,3.862016,1.219052,521437225
lhr71,70304,70304,1528092,3.503936,2.422784,2.67569,4942652416
lhr71,70304,70304,1528092,2.675232,1.46864,1.850201,4942652416
